link_index,kingdom,area_scope,home_stage,home_entrance_in,home_entrance_out,sub_stage,sub_entrance_in,sub_entrance_out,home_in_node_id,home_out_node_id,sub_near_node_id,sub_far_node_id,status,notes
76,Seaside Kingdom,overworld,SeaWorldHomeStage,SeaWorldEX2,SeaWorldEX2Return,CloudExStage,SeaWorldEX2,SeaWorldEX2Return,SeaWorldHomeStage::entrance::SeaWorldEX2::home_in,SeaWorldHomeStage::entrance::SeaWorldEX2Return::home_out,CloudExStage::entrance::SeaWorldEX2::sub_near,CloudExStage::entrance::SeaWorldEX2Return::sub_far,active,
77,Seaside Kingdom,overworld,SeaWorldHomeStage,SeaWorldMoonEX2,SeaWorldMoonEX2,TogezoRotateExStage,SeaWorldMoonEX2,SeaWorldMoonEX2,SeaWorldHomeStage::entrance::SeaWorldMoonEX2::home_in,SeaWorldHomeStage::entrance::SeaWorldMoonEX2::home_out,TogezoRotateExStage::entrance::SeaWorldMoonEX2::sub_near,TogezoRotateExStage::entrance::SeaWorldMoonEX2::sub_far,active,
78,Seaside Kingdom,overworld,SeaWorldHomeStage,SeaWorldEX3a,SeaWorldEX3b,SenobiTowerExStage,SeaWorldEX3a,SeaWorldEX3b,SeaWorldHomeStage::entrance::SeaWorldEX3a::home_in,SeaWorldHomeStage::entrance::SeaWorldEX3b::home_out,SenobiTowerExStage::entrance::SeaWorldEX3a::sub_near,SenobiTowerExStage::entrance::SeaWorldEX3b::sub_far,active,
79,Seaside Kingdom,overworld,SeaWorldHomeStage,SeaWorldMoonEX1a,SeaWorldMoonEX1b,ReflectBombExStage,SeaWorldMoonEX1a,SeaWorldMoonEX1b,SeaWorldHomeStage::entrance::SeaWorldMoonEX1a::home_in,SeaWorldHomeStage::entrance::SeaWorldMoonEX1b::home_out,ReflectBombExStage::entrance::SeaWorldMoonEX1a::sub_near,ReflectBombExStage::entrance::SeaWorldMoonEX1b::sub_far,active,
80,Seaside Kingdom,overworld,SeaWorldHomeStage,PukupukuCaveStart,PukupukuCaveGoal,SeaWorldUtsuboCaveStage,PukupukuCaveStart,PukupukuCaveGoal,SeaWorldHomeStage::entrance::PukupukuCaveStart::home_in,SeaWorldHomeStage::entrance::PukupukuCaveGoal::home_out,SeaWorldUtsuboCaveStage::entrance::PukupukuCaveStart::sub_near,SeaWorldUtsuboCaveStage::entrance::PukupukuCaveGoal::sub_far,vanilla,story sub-area: fixed vanilla identity link and never shuffled
81,Seaside Kingdom,overworld,SeaWorldHomeStage,RoomEventWorldSea,RoomEventWorldSea,SeaWorldSneakingManStage,RoomEventWorldSea,RoomEventWorldSea,SeaWorldHomeStage::entrance::RoomEventWorldSea::home_in,SeaWorldHomeStage::entrance::RoomEventWorldSea::home_out,SeaWorldSneakingManStage::entrance::RoomEventWorldSea::sub_near,SeaWorldSneakingManStage::entrance::RoomEventWorldSea::sub_far,active,
82,Seaside Kingdom,overworld,SeaWorldHomeStage,TreasureEventWorldSea,TreasureEventWorldSea,SeaWorldSecretStage,TreasureEventWorldSea,TreasureEventWorldSea,SeaWorldHomeStage::entrance::TreasureEventWorldSea::home_in,SeaWorldHomeStage::entrance::TreasureEventWorldSea::home_out,SeaWorldSecretStage::entrance::TreasureEventWorldSea::sub_near,SeaWorldSecretStage::entrance::TreasureEventWorldSea::sub_far,active,
83,Seaside Kingdom,overworld,SeaWorldHomeStage,shindo_Lv2,shindo_Lv2,SeaWorldVibrationStage,shindo_Lv2,shindo_Lv2,SeaWorldHomeStage::entrance::shindo_Lv2::home_in,SeaWorldHomeStage::entrance::shindo_Lv2::home_out,SeaWorldVibrationStage::entrance::shindo_Lv2::sub_near,SeaWorldVibrationStage::entrance::shindo_Lv2::sub_far,active,
84,Seaside Kingdom,overworld,SeaWorldHomeStage,CostumeEventSeaWorld,CostumeEventSeaWorld,SeaWorldCostumeStage,CostumeEventSeaWorld,CostumeEventSeaWorld,SeaWorldHomeStage::entrance::CostumeEventSeaWorld::home_in,SeaWorldHomeStage::entrance::CostumeEventSeaWorld::home_out,SeaWorldCostumeStage::entrance::CostumeEventSeaWorld::sub_near,SeaWorldCostumeStage::entrance::CostumeEventSeaWorld::sub_far,active,
85,Luncheon Kingdom,overworld,LavaWorldHomeStage,ForkEX,ForkEX,ForkExStage,ForkEX,ForkEX,LavaWorldHomeStage::entrance::ForkEX::home_in,LavaWorldHomeStage::entrance::ForkEX::home_out,ForkExStage::entrance::ForkEX::sub_near,ForkExStage::entrance::ForkEX::sub_far,active,
86,Luncheon Kingdom,overworld,LavaWorldHomeStage,LavaLiftEx,LavaLiftExdokan,CapAppearLavaLiftExStage,LavaLiftEx,LavaLiftExdokan,LavaWorldHomeStage::entrance::LavaLiftEx::home_in,LavaWorldHomeStage::entrance::LavaLiftExdokan::home_out,CapAppearLavaLiftExStage::entrance::LavaLiftEx::sub_near,CapAppearLavaLiftExStage::entrance::LavaLiftExdokan::sub_far,active,
87,Luncheon Kingdom,overworld,LavaWorldHomeStage,GabuzouClockEx,GabuzouClockExdokan,GabuzouClockExStage,GabuzouClockEx,GabuzouClockExdokan,LavaWorldHomeStage::entrance::GabuzouClockEx::home_in,LavaWorldHomeStage::entrance::GabuzouClockExdokan::home_out,GabuzouClockExStage::entrance::GabuzouClockEx::sub_near,GabuzouClockExStage::entrance::GabuzouClockExdokan::sub_far,active,
88,Luncheon Kingdom,overworld,LavaWorldHomeStage,PechoBubbleEx,PechoBubbleExDokan,LavaWorldBubbleLaneExStage,PechoBubbleEx,PechoBubbleExDokan,LavaWorldHomeStage::entrance::PechoBubbleEx::home_in,LavaWorldHomeStage::entrance::PechoBubbleExDokan::home_out,LavaWorldBubbleLaneExStage::entrance::PechoBubbleEx::sub_near,LavaWorldBubbleLaneExStage::entrance::PechoBubbleExDokan::sub_far,active,
89,Luncheon Kingdom,overworld,LavaWorldHomeStage,MartinCubeEx,MartinCubeEx,LavaWorldExcavationExStage,MartinCubeEx,MartinCubeEx,LavaWorldHomeStage::entrance::MartinCubeEx::home_in,LavaWorldHomeStage::entrance::MartinCubeEx::home_out,LavaWorldExcavationExStage::entrance::MartinCubeEx::sub_near,LavaWorldExcavationExStage::entrance::MartinCubeEx::sub_far,active,
90,Luncheon Kingdom,overworld,LavaWorldHomeStage,KeyMoveEx,KeyMoveExDokan,LavaWorldUpDownExStage,KeyMoveEx,KeyMoveExDokan,LavaWorldHomeStage::entrance::KeyMoveEx::home_in,LavaWorldHomeStage::entrance::KeyMoveExDokan::home_out,LavaWorldUpDownExStage::entrance::KeyMoveEx::sub_near,LavaWorldUpDownExStage::entrance::KeyMoveExDokan::sub_far,active,
91,Luncheon Kingdom,overworld,LavaWorldHomeStage,BBQEx,BBQExDokan,LavaWorldClockExStage,BBQEx,BBQExDokan,LavaWorldHomeStage::entrance::BBQEx::home_in,LavaWorldHomeStage::entrance::BBQExDokan::home_out,LavaWorldClockExStage::entrance::BBQEx::sub_near,LavaWorldClockExStage::entrance::BBQExDokan::sub_far,active,
92,Luncheon Kingdom,overworld,LavaWorldHomeStage,FenceLiftEx,FenceLiftExdokan,LavaWorldFenceLiftExStage,FenceLiftEx,FenceLiftExdokan,LavaWorldHomeStage::entrance::FenceLiftEx::home_in,LavaWorldHomeStage::entrance::FenceLiftExdokan::home_out,LavaWorldFenceLiftExStage::entrance::FenceLiftEx::sub_near,LavaWorldFenceLiftExStage::entrance::FenceLiftExdokan::sub_far,active,
93,Luncheon Kingdom,overworld,LavaWorldHomeStage,CostumeEventWorldLava,CostumeOut,LavaWorldCostumeStage,CostumeEventWorldLava,CostumeOut,LavaWorldHomeStage::entrance::CostumeEventWorldLava::home_in,LavaWorldHomeStage::entrance::CostumeOut::home_out,LavaWorldCostumeStage::entrance::CostumeEventWorldLava::sub_near,LavaWorldCostumeStage::entrance::CostumeOut::sub_far,active,
94,Luncheon Kingdom,overworld,LavaWorldHomeStage,TreasureEventWorldLava,TreasureEventWorldLava,LavaWorldTreasureStage,TreasureEventWorldLava,TreasureEventWorldLava,LavaWorldHomeStage::entrance::TreasureEventWorldLava::home_in,LavaWorldHomeStage::entrance::TreasureEventWorldLava::home_out,LavaWorldTreasureStage::entrance::TreasureEventWorldLava::sub_near,LavaWorldTreasureStage::entrance::TreasureEventWorldLava::sub_far,active,
95,Luncheon Kingdom,overworld,LavaWorldHomeStage,town,town,LavaBonus1Zone,town,town,LavaWorldHomeStage::entrance::town::home_in,LavaWorldHomeStage::entrance::town::home_out,LavaBonus1Zone::entrance::town::sub_near,LavaBonus1Zone::entrance::town::sub_far,active,
96,Luncheon Kingdom,overworld,LavaWorldHomeStage,shop,shop,LavaWorldShopStage,shop,shop,LavaWorldHomeStage::entrance::shop::home_in,LavaWorldHomeStage::entrance::shop::home_out,LavaWorldShopStage::entrance::shop::sub_near,LavaWorldShopStage::entrance::shop::sub_far,active,
97,Ruined Kingdom,overworld,BossRaidWorldHomeStage,BossRaidWorldMoonEx02_Enter,BossRaidWorldMoonEx02_Exit,BullRunExStage,BossRaidWorldMoonEx02_Enter,BossRaidWorldMoonEx02_Exit,BossRaidWorldHomeStage::entrance::BossRaidWorldMoonEx02_Enter::home_in,BossRaidWorldHomeStage::entrance::BossRaidWorldMoonEx02_Exit::home_out,BullRunExStage::entrance::BossRaidWorldMoonEx02_Enter::sub_near,BullRunExStage::entrance::BossRaidWorldMoonEx02_Exit::sub_far,active,
98,Ruined Kingdom,overworld,BossRaidWorldHomeStage,BossRaidWorldEx01_Eixt,BossRaidWorldEx01_Eixt,DotTowerExStage,BossRaidWorldEx01_Eixt,BossRaidWorldEx01_Eixt,BossRaidWorldHomeStage::entrance::BossRaidWorldEx01_Eixt::home_in,BossRaidWorldHomeStage::entrance::BossRaidWorldEx01_Eixt::home_out,DotTowerExStage::entrance::BossRaidWorldEx01_Eixt::sub_near,DotTowerExStage::entrance::BossRaidWorldEx01_Eixt::sub_far,active,
99,Bowser's Kingdom,overworld,SkyWorldHomeStage,jizo01,jizo02,JizoSwitchExStage,jizo01,jizo02,SkyWorldHomeStage::entrance::jizo01::home_in,SkyWorldHomeStage::entrance::jizo02::home_out,JizoSwitchExStage::entrance::jizo01::sub_near,JizoSwitchExStage::entrance::jizo02::sub_far,active,
100,Bowser's Kingdom,overworld,SkyWorldHomeStage,tukkun000_enter,tukkun000_exit,TsukkunRotateExStage,tukkun000_enter,tukkun000_exit,SkyWorldHomeStage::entrance::tukkun000_enter::home_in,SkyWorldHomeStage::entrance::tukkun000_exit::home_out,TsukkunRotateExStage::entrance::tukkun000_enter::sub_near,TsukkunRotateExStage::entrance::tukkun000_exit::sub_far,active,
101,Bowser's Kingdom,overworld,SkyWorldHomeStage,tukkun001_enter,tukkun001_exit,TsukkunClimbExStage,tukkun001_enter,tukkun001_exit,SkyWorldHomeStage::entrance::tukkun001_enter::home_in,SkyWorldHomeStage::entrance::tukkun001_exit::home_out,TsukkunClimbExStage::entrance::tukkun001_enter::sub_near,TsukkunClimbExStage::entrance::tukkun001_exit::sub_far,active,
102,Bowser's Kingdom,overworld,SkyWorldHomeStage,sora001,sora001,SkyWorldCloudBonusExStage,sora001,sora001,SkyWorldHomeStage::entrance::sora001::home_in,SkyWorldHomeStage::entrance::sora001::home_out,SkyWorldCloudBonusExStage::entrance::sora001::sub_near,SkyWorldCloudBonusExStage::entrance::sora001::sub_far,active,
103,Bowser's Kingdom,overworld,SkyWorldHomeStage,shop_dress,shop_dress,SkyWorldTreasureStage,shop_dress,shop_dress,SkyWorldHomeStage::entrance::shop_dress::home_in,SkyWorldHomeStage::entrance::shop_dress::home_out,SkyWorldTreasureStage::entrance::shop_dress::sub_near,SkyWorldTreasureStage::entrance::shop_dress::sub_far,active,
104,Bowser's Kingdom,overworld,SkyWorldHomeStage,shop,shop,SkyWorldShopStage,shop,shop,SkyWorldHomeStage::entrance::shop::home_in,SkyWorldHomeStage::entrance::shop::home_out,SkyWorldShopStage::entrance::shop::sub_near,SkyWorldShopStage::entrance::shop::sub_far,active,
105,Bowser's Kingdom,overworld,SkyWorldHomeStage,byoubu,byoubu,SkyWorldCostumeStage,byoubu,byoubu,SkyWorldHomeStage::entrance::byoubu::home_in,SkyWorldHomeStage::entrance::byoubu::home_out,SkyWorldCostumeStage::entrance::byoubu::sub_near,SkyWorldCostumeStage::entrance::byoubu::sub_far,active,
106,Moon Kingdom,overworld,MoonWorldHomeStage,dot00,dot01,Galaxy2DExStage,dot00,dot01,MoonWorldHomeStage::entrance::dot00::home_in,MoonWorldHomeStage::entrance::dot01::home_out,Galaxy2DExStage::entrance::dot00::sub_near,Galaxy2DExStage::entrance::dot01::sub_far,active,
107,Moon Kingdom,overworld,MoonWorldHomeStage,moon,moon_exit,MoonAthleticExStage,moon,moon_exit,MoonWorldHomeStage::entrance::moon::home_in,MoonWorldHomeStage::entrance::moon_exit::home_out,MoonAthleticExStage::entrance::moon::sub_near,MoonAthleticExStage::entrance::moon_exit::sub_far,active,
108,Moon Kingdom,overworld,MoonWorldHomeStage,ggg,ggg,MoonWorldSphinxRoom,ggg,ggg,MoonWorldHomeStage::entrance::ggg::home_in,MoonWorldHomeStage::entrance::ggg::home_out,MoonWorldSphinxRoom::entrance::ggg::sub_near,MoonWorldSphinxRoom::entrance::ggg::sub_far,active,
109,Moon Kingdom,overworld,MoonWorldHomeStage,ddd,ddd,MoonWorldShopRoom,ddd,ddd,MoonWorldHomeStage::entrance::ddd::home_in,MoonWorldHomeStage::entrance::ddd::home_out,MoonWorldShopRoom::entrance::ddd::sub_near,MoonWorldShopRoom::entrance::ddd::sub_far,active,
110,Mushroom Kingdom,overworld,PeachWorldHomeStage,PeachWorldEx1a,PeachWorldEx1a,YoshiCloudExStage,PeachWorldEx1a,PeachWorldEx1a,PeachWorldHomeStage::entrance::PeachWorldEx1a::home_in,PeachWorldHomeStage::entrance::PeachWorldEx1a::home_out,YoshiCloudExStage::entrance::PeachWorldEx1a::sub_near,YoshiCloudExStage::entrance::PeachWorldEx1a::sub_far,active,
111,Mushroom Kingdom,overworld,PeachWorldHomeStage,PeachWorldEx2a,PeachWorldEx2a,DotHardExStage,PeachWorldEx2a,PeachWorldEx2a,PeachWorldHomeStage::entrance::PeachWorldEx2a::home_in,PeachWorldHomeStage::entrance::PeachWorldEx2a::home_out,DotHardExStage::entrance::PeachWorldEx2a::sub_near,DotHardExStage::entrance::PeachWorldEx2a::sub_far,active,
112,Mushroom Kingdom,overworld,PeachWorldHomeStage,Fukuwarai2,Fukuwarai2,FukuwaraiMarioStage,Fukuwarai2,Fukuwarai2,PeachWorldHomeStage::entrance::Fukuwarai2::home_in,PeachWorldHomeStage::entrance::Fukuwarai2::home_out,FukuwaraiMarioStage::entrance::Fukuwarai2::sub_near,FukuwaraiMarioStage::entrance::Fukuwarai2::sub_far,active,
113,Mushroom Kingdom,overworld,PeachWorldHomeStage,PeachCastleGate,PeachCastleGate,PeachWorldCastleStage,PeachCastleGate,PeachCastleGate,PeachWorldHomeStage::entrance::PeachCastleGate::home_in,PeachWorldHomeStage::entrance::PeachCastleGate::home_out,PeachWorldCastleStage::entrance::PeachCastleGate::sub_near,PeachWorldCastleStage::entrance::PeachCastleGate::sub_far,active,
114,Mushroom Kingdom,overworld,PeachWorldHomeStage,PeachWorldShopA,PeachWorldShopA,PeachWorldShopStage,PeachWorldShopA,PeachWorldShopA,PeachWorldHomeStage::entrance::PeachWorldShopA::home_in,PeachWorldHomeStage::entrance::PeachWorldShopA::home_out,PeachWorldShopStage::entrance::PeachWorldShopA::sub_near,PeachWorldShopStage::entrance::PeachWorldShopA::sub_far,active,
115,Mushroom Kingdom,overworld,PeachWorldHomeStage,CostumeEventWorldPeach,CostumeEventWorldPeach,PeachWorldCostumeStage,CostumeEventWorldPeach,CostumeEventWorldPeach,PeachWorldHomeStage::entrance::CostumeEventWorldPeach::home_in,PeachWorldHomeStage::entrance::CostumeEventWorldPeach::home_out,PeachWorldCostumeStage::entrance::CostumeEventWorldPeach::sub_near,PeachWorldCostumeStage::entrance::CostumeEventWorldPeach::sub_far,active,
116,Mushroom Kingdom,overworld,PeachWorldHomeStage,BossForestA,BossForestA,PeachWorldPictureBossForestStage,BossForestA,BossForestA,PeachWorldHomeStage::entrance::BossForestA::home_in,PeachWorldHomeStage::entrance::BossForestA::home_out,PeachWorldPictureBossForestStage::entrance::BossForestA::sub_near,PeachWorldPictureBossForestStage::entrance::BossForestA::sub_far,active,
117,Mushroom Kingdom,overworld,PeachWorldHomeStage,BossKnuckleA,BossKnuckleA,PeachWorldPictureBossKnuckleStage,BossKnuckleA,BossKnuckleA,PeachWorldHomeStage::entrance::BossKnuckleA::home_in,PeachWorldHomeStage::entrance::BossKnuckleA::home_out,PeachWorldPictureBossKnuckleStage::entrance::BossKnuckleA::sub_near,PeachWorldPictureBossKnuckleStage::entrance::BossKnuckleA::sub_far,active,
118,Mushroom Kingdom,overworld,PeachWorldHomeStage,BossMagmaA,BossMagmaA,PeachWorldPictureBossMagmaStage,BossMagmaA,BossMagmaA,PeachWorldHomeStage::entrance::BossMagmaA::home_in,PeachWorldHomeStage::entrance::BossMagmaA::home_out,PeachWorldPictureBossMagmaStage::entrance::BossMagmaA::sub_near,PeachWorldPictureBossMagmaStage::entrance::BossMagmaA::sub_far,active,
119,Mushroom Kingdom,overworld,PeachWorldHomeStage,MofumofuA,MofumofuA,PeachWorldPictureMofumofuStage,MofumofuA,MofumofuA,PeachWorldHomeStage::entrance::MofumofuA::home_in,PeachWorldHomeStage::entrance::MofumofuA::home_out,PeachWorldPictureMofumofuStage::entrance::MofumofuA::sub_near,PeachWorldPictureMofumofuStage::entrance::MofumofuA::sub_far,active,
120,Mushroom Kingdom,overworld,PeachWorldHomeStage,BossRaidA,BossRaidB,PeachWorldPictureBossRaidStage,BossRaidB,BossRaidB,PeachWorldHomeStage::entrance::BossRaidA::home_in,PeachWorldHomeStage::entrance::BossRaidB::home_out,PeachWorldPictureBossRaidStage::entrance::BossRaidB::sub_near,PeachWorldPictureBossRaidStage::entrance::BossRaidB::sub_far,active,"Painting room is coupled on the sub side like the other boss re-fights. The arrival pipe (BossRaidA) is IsExitOnly inside the room, so it cannot be walked into; both sides use the persistent BossRaidB pipe and BossRaidA is never routed."
121,Mushroom Kingdom,overworld,PeachWorldHomeStage,GiantWanderBossA,GiantWanderBossB,PeachWorldPictureGiantWanderBossStage,GiantWanderBossB,GiantWanderBossB,PeachWorldHomeStage::entrance::GiantWanderBossA::home_in,PeachWorldHomeStage::entrance::GiantWanderBossB::home_out,PeachWorldPictureGiantWanderBossStage::entrance::GiantWanderBossB::sub_near,PeachWorldPictureGiantWanderBossStage::entrance::GiantWanderBossB::sub_far,active,"Painting room is coupled on the sub side like the other boss re-fights. The arrival pipe (GiantWanderBossA) is IsExitOnly inside the room, so it cannot be walked into; both sides use the persistent GiantWanderBossB pipe and GiantWanderBossA is never routed."
122,Dark Side,overworld,Special1WorldHomeStage,StackerRoomStart,StackerRoomGoal,Special1WorldTowerStackerStage,StackerRoomStart,StackerRoomGoal,Special1WorldHomeStage::entrance::StackerRoomStart::home_in,Special1WorldHomeStage::entrance::StackerRoomGoal::home_out,Special1WorldTowerStackerStage::entrance::StackerRoomStart::sub_near,Special1WorldTowerStackerStage::entrance::StackerRoomGoal::sub_far,vanilla,
123,Dark Side,overworld,Special1WorldHomeStage,BombTailRoomStart,BombTailRoomGoal,Special1WorldTowerBombTailStage,BombTailRoomStart,BombTailRoomGoal,Special1WorldHomeStage::entrance::BombTailRoomStart::home_in,Special1WorldHomeStage::entrance::BombTailRoomGoal::home_out,Special1WorldTowerBombTailStage::entrance::BombTailRoomStart::sub_near,Special1WorldTowerBombTailStage::entrance::BombTailRoomGoal::sub_far,vanilla,
124,Dark Side,overworld,Special1WorldHomeStage,FireBlowerRoomStart,FireBlowerRoomGoal,Special1WorldTowerFireBlowerStage,FireBlowerRoomStart,FireBlowerRoomGoal,Special1WorldHomeStage::entrance::FireBlowerRoomStart::home_in,Special1WorldHomeStage::entrance::FireBlowerRoomGoal::home_out,Special1WorldTowerFireBlowerStage::entrance::FireBlowerRoomStart::sub_near,Special1WorldTowerFireBlowerStage::entrance::FireBlowerRoomGoal::sub_far,vanilla,
125,Dark Side,overworld,Special1WorldHomeStage,CapThrowerRoomStart,CapThrowerRoomGoal,Special1WorldTowerCapThrowerStage,CapThrowerRoomStart,CapThrowerRoomGoal,Special1WorldHomeStage::entrance::CapThrowerRoomStart::home_in,Special1WorldHomeStage::entrance::CapThrowerRoomGoal::home_out,Special1WorldTowerCapThrowerStage::entrance::CapThrowerRoomStart::sub_near,Special1WorldTowerCapThrowerStage::entrance::CapThrowerRoomGoal::sub_far,vanilla,
126,Dark Side,overworld,Special1WorldHomeStage,BikeSteelNoCapEx,BikeSteelNoCapEx_Exit,BikeSteelNoCapExStage,BikeSteelNoCapEx,BikeSteelNoCapEx_Exit,Special1WorldHomeStage::entrance::BikeSteelNoCapEx::home_in,Special1WorldHomeStage::entrance::BikeSteelNoCapEx_Exit::home_out,BikeSteelNoCapExStage::entrance::BikeSteelNoCapEx::sub_near,BikeSteelNoCapExStage::entrance::BikeSteelNoCapEx_Exit::sub_far,active,
127,Dark Side,overworld,Special1WorldHomeStage,PackunPoisonNoCapEx,PackunPoisonNoCapEx_Exit,PackunPoisonNoCapExStage,PackunPoisonNoCapEx,PackunPoisonNoCapEx_Exit,Special1WorldHomeStage::entrance::PackunPoisonNoCapEx::home_in,Special1WorldHomeStage::entrance::PackunPoisonNoCapEx_Exit::home_out,PackunPoisonNoCapExStage::entrance::PackunPoisonNoCapEx::sub_near,PackunPoisonNoCapExStage::entrance::PackunPoisonNoCapEx_Exit::sub_far,active,
128,Dark Side,overworld,Special1WorldHomeStage,KillerRoadNoCapEx,KillerRoadNoCapEx,KillerRoadNoCapExStage,KillerRoadNoCapEx,KillerRoadNoCapEx,Special1WorldHomeStage::entrance::KillerRoadNoCapEx::home_in,Special1WorldHomeStage::entrance::KillerRoadNoCapEx::home_out,KillerRoadNoCapExStage::entrance::KillerRoadNoCapEx::sub_near,KillerRoadNoCapExStage::entrance::KillerRoadNoCapEx::sub_far,active,
129,Dark Side,overworld,Special1WorldHomeStage,ShootingCityYoshiEx,ShootingCityYoshiEx_Exit,ShootingCityYoshiExStage,ShootingCityYoshiEx,ShootingCityYoshiEx_Exit,Special1WorldHomeStage::entrance::ShootingCityYoshiEx::home_in,Special1WorldHomeStage::entrance::ShootingCityYoshiEx_Exit::home_out,ShootingCityYoshiExStage::entrance::ShootingCityYoshiEx::sub_near,ShootingCityYoshiExStage::entrance::ShootingCityYoshiEx_Exit::sub_far,active,
130,Dark Side,overworld,Special1WorldHomeStage,SenobiTowerYoshiEx,SenobiTowerYoshiEx_Exit,SenobiTowerYoshiExStage,SenobiTowerYoshiEx,SenobiTowerYoshiEx_Exit,Special1WorldHomeStage::entrance::SenobiTowerYoshiEx::home_in,Special1WorldHomeStage::entrance::SenobiTowerYoshiEx_Exit::home_out,SenobiTowerYoshiExStage::entrance::SenobiTowerYoshiEx::sub_near,SenobiTowerYoshiExStage::entrance::SenobiTowerYoshiEx_Exit::sub_far,active,
131,Dark Side,overworld,Special1WorldHomeStage,LavaWorldUpDownYoshiEx,LavaWorldUpDownYoshiEx_Exit,LavaWorldUpDownYoshiExStage,LavaWorldUpDownYoshiEx,LavaWorldUpDownYoshiEx_Exit,Special1WorldHomeStage::entrance::LavaWorldUpDownYoshiEx::home_in,Special1WorldHomeStage::entrance::LavaWorldUpDownYoshiEx_Exit::home_out,LavaWorldUpDownYoshiExStage::entrance::LavaWorldUpDownYoshiEx::sub_near,LavaWorldUpDownYoshiExStage::entrance::LavaWorldUpDownYoshiEx_Exit::sub_far,active,
132,Darker Side,overworld,Special2WorldHomeStage,CP_Entrance,MoonGoal,Special2WorldLavaStage,CP_Entrance,MoonGoal,Special2WorldHomeStage::entrance::CP_Entrance::home_in,Special2WorldHomeStage::entrance::MoonGoal::home_out,Special2WorldLavaStage::entrance::CP_Entrance::sub_near,Special2WorldLavaStage::entrance::MoonGoal::sub_far,vanilla,"Fixed Darker Side story route; the runtime exposes one external home warp to this stage's Odyssey."
133,Sand Kingdom,overworld,SandWorldHomeStage,arijigoku,arijigoku1,SandWorldPressExStage,arijigoku,arijigoku1,SandWorldHomeStage::entrance::arijigoku::home_in,SandWorldHomeStage::entrance::arijigoku1::home_out,SandWorldPressExStage::entrance::arijigoku::sub_near,SandWorldPressExStage::entrance::arijigoku1::sub_far,vanilla,fixed coupled return alias for the Ice Cave entrance pipe; never a randomized home-side entry
134,Wooded Kingdom,subarea,ForestWorldWoodsStage,Explorer_Bonus,Explorer_Bonus,ForestWorldWoodsCostumeStage,Explorer_Bonus,Explorer_Bonus,ForestWorldWoodsStage::entrance::Explorer_Bonus::home_in,ForestWorldWoodsStage::entrance::Explorer_Bonus::home_out,ForestWorldWoodsCostumeStage::entrance::Explorer_Bonus::sub_near,ForestWorldWoodsCostumeStage::entrance::Explorer_Bonus::sub_far,active,Deep Woods owns the door; the Costume Room is the sub-area (matches the TreasureTree row)
135,Wooded Kingdom,subarea,ForestWorldWoodsStage,TreasureTree,TreasureTree,ForestWorldWoodsTreasureStage,TreasureTree,TreasureTree,ForestWorldWoodsStage::entrance::TreasureTree::home_in,ForestWorldWoodsStage::entrance::TreasureTree::home_out,ForestWorldWoodsTreasureStage::entrance::TreasureTree::sub_near,ForestWorldWoodsTreasureStage::entrance::TreasureTree::sub_far,active,
136,Bowser's Kingdom,overworld,SkyWorldHomeStage,Patakaron02,Patakaron02,KaronWingTowerStage,Patakaron02,Patakaron02,SkyWorldHomeStage::entrance::Patakaron02::home_in,SkyWorldHomeStage::entrance::Patakaron02::home_out,KaronWingTowerStage::entrance::Patakaron02::sub_near,KaronWingTowerStage::entrance::Patakaron02::sub_far,active,Hexagon Tower moon pipe (DokanStageChange Patakaron02); raw stage_change paired into a shuffleable door
137,Metro Kingdom,overworld,CityWorldHomeStage,under001enter,under001enter,CityWorldFactoryStage,under001enter,under001enter,CityWorldHomeStage::entrance::under001enter::home_in,CityWorldHomeStage::entrance::under001enter::home_out,CityWorldFactoryStage::entrance::under001enter::sub_near,CityWorldFactoryStage::entrance::under001enter::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
138,Wooded Kingdom,overworld,ForestWorldHomeStage,boss001,boss001,ForestWorldBossStage,boss001,boss001,ForestWorldHomeStage::entrance::boss001::home_in,ForestWorldHomeStage::entrance::boss001::home_out,ForestWorldBossStage::entrance::boss001::sub_near,ForestWorldBossStage::entrance::boss001::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
139,Wooded Kingdom,overworld,ForestWorldHomeStage,Tower001,Tower001,ForestWorldTowerStage,Tower001,Tower001,ForestWorldHomeStage::entrance::Tower001::home_in,ForestWorldHomeStage::entrance::Tower001::home_out,ForestWorldTowerStage::entrance::Tower001::sub_near,ForestWorldTowerStage::entrance::Tower001::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
140,Moon Kingdom,overworld,MoonWorldHomeStage,bbb,bbb,MoonWorldCaptureParadeStage,bbb,bbb,MoonWorldHomeStage::entrance::bbb::home_in,MoonWorldHomeStage::entrance::bbb::home_out,MoonWorldCaptureParadeStage::entrance::bbb::sub_near,MoonWorldCaptureParadeStage::entrance::bbb::sub_far,vanilla,"Fixed (non-randomized) story/internal route; connected for logic, excluded from ER shuffle."
